"Date_InitialTag","Transect","TransectNum","NewTagNum","Species","Date_DocumentedDisease","Date_DocumentedMortality","immune_y/n","check_condition_initials","Date","Condition","Percentage","check_condition_notes"
"6/21/19","CBC30N",1,"2","PAST","Healthy","Healthy","y","x","062025","Healthy",NA,NA
"6/21/19","CBC30N",1,"3","SSID","5/21/22","Diseased","y","x","062019","Healthy",NA,NA
"6/21/19","CBC30N",1,"3","SSID","5/21/22","Diseased","y","x","052022","Diseased",NA,NA
"6/21/19","CBC30N",1,"3","SSID","5/21/22","Diseased","y","x","122022","Healthy",NA,NA
"6/21/19","CBC30N",1,"3","SSID","5/21/22","Diseased","y","x","092023","Diseased",NA,NA
"6/21/19","CBC30N",1,"3","SSID","5/21/22","Diseased","y","x","112023","CLP","100%",NA
"6/21/19","CBC30N",1,"3","SSID","5/21/22","Diseased","y","x","122023","Healthy",NA,NA
"6/21/19","CBC30N",1,"3","SSID","5/21/22","Diseased","y","x","012024","Healthy",NA,NA
"6/21/19","CBC30N",1,"3","SSID","5/21/22","Diseased","y","x","022024","Diseased",NA,NA
"6/21/19","CBC30N",1,"3","SSID","5/21/22","Diseased","y","x","042024","Diseased",NA,NA
"6/21/19","CBC30N",1,"3","SSID","5/21/22","Diseased","y","x","062024","Diseased",NA,NA
"6/21/19","CBC30N",1,"3","SSID","5/21/22","Diseased","y","x","082024","Diseased",NA,NA
"6/21/19","CBC30N",1,"3","SSID","5/21/22","Diseased","y","x","122024","DC","10%",NA
"6/21/19","CBC30N",1,"3","SSID","5/21/22","Diseased","y","x","062025","Diseased",NA,NA
"10/15/19","CBC30N",1,"4","PSTR","5/21/22","12/2/22","n","x","062019","Healthy",NA,NA
"10/15/19","CBC30N",1,"4","PSTR","5/21/22","12/2/22","n","x","052022","Diseased",NA,NA
"10/15/19","CBC30N",1,"4","PSTR","5/21/22","12/2/22","n","x","122022","Dead",NA,NA
"10/15/19","CBC30N",1,"4","PSTR","5/21/22","12/2/22","n","x","092023","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"4","PSTR","5/21/22","12/2/22","n","x","112023","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"4","PSTR","5/21/22","12/2/22","n","x","122023","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"4","PSTR","5/21/22","12/2/22","n","x","012024","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"4","PSTR","5/21/22","12/2/22","n","x","022024","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"4","PSTR","5/21/22","12/2/22","n","x","042024","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"4","PSTR","5/21/22","12/2/22","n","x","062024","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"4","PSTR","5/21/22","12/2/22","n","x","082024","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"4","PSTR","5/21/22","12/2/22","n","x","122024","Not_visited",NA,NA
"10/15/19","CBC30N",1,"4","PSTR","5/21/22","12/2/22","n","x","062025",NA,NA,NA
"6/24/19","CBC30N",1,"5","SSID","5/21/22","Diseased","n","x","062019","Healthy",NA,NA
"6/24/19","CBC30N",1,"5","SSID","5/21/22","Diseased","n","x","052022","Diseased",NA,NA
"6/24/19","CBC30N",1,"5","SSID","5/21/22","Diseased","n","x","122022","Diseased",NA,NA
"6/24/19","CBC30N",1,"5","SSID","5/21/22","Diseased","n","x","092023","Diseased",NA,NA
"6/24/19","CBC30N",1,"5","SSID","5/21/22","Diseased","n","x","112023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"5","SSID","5/21/22","Diseased","n","x","122023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"5","SSID","5/21/22","Diseased","n","x","012024","Diseased",NA,NA
"6/24/19","CBC30N",1,"5","SSID","5/21/22","Diseased","n","x","022024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"5","SSID","5/21/22","Diseased","n","x","042024","Diseased",NA,NA
"6/24/19","CBC30N",1,"5","SSID","5/21/22","Diseased","n","x","062024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"5","SSID","5/21/22","Diseased","n","x","082024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"5","SSID","5/21/22","Diseased","n","x","122024","DC","10%",NA
"6/24/19","CBC30N",1,"5","SSID","5/21/22","Diseased","n","x","062025","Diseased",NA,NA
"10/15/19","CBC30N",1,"6","PSTR","12/2/22","9/25/23","n","x","062019","Healthy",NA,NA
"10/15/19","CBC30N",1,"6","PSTR","12/2/22","9/25/23","n","x","052022","Healthy",NA,NA
"10/15/19","CBC30N",1,"6","PSTR","12/2/22","9/25/23","n","x","122022","Diseased",NA,NA
"10/15/19","CBC30N",1,"6","PSTR","12/2/22","9/25/23","n","x","092023","Dead",NA,NA
"10/15/19","CBC30N",1,"6","PSTR","12/2/22","9/25/23","n","x","112023","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"6","PSTR","12/2/22","9/25/23","n","x","122023","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"6","PSTR","12/2/22","9/25/23","n","x","012024","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"6","PSTR","12/2/22","9/25/23","n","x","022024","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"6","PSTR","12/2/22","9/25/23","n","x","042024","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"6","PSTR","12/2/22","9/25/23","n","x","062024","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"6","PSTR","12/2/22","9/25/23","n","x","082024","Not_Visited",NA,NA
"10/15/19","CBC30N",1,"6","PSTR","12/2/22","9/25/23","n","x","122024","Healthy",NA,NA
"10/15/19","CBC30N",1,"6","PSTR","12/2/22","9/25/23","n","x","062025",NA,NA,NA
"6/24/19","CBC30N",1,"7","MCAV","Healthy","12/1/24","n","x","062019","Healthy",NA,NA
"6/24/19","CBC30N",1,"7","MCAV","Healthy","12/1/24","n","x","052022","Healthy",NA,NA
"6/24/19","CBC30N",1,"7","MCAV","Healthy","12/1/24","n","x","122022","Healthy",NA,NA
"6/24/19","CBC30N",1,"7","MCAV","Healthy","12/1/24","n","x","092023","CLP","95%",NA
"6/24/19","CBC30N",1,"7","MCAV","Healthy","12/1/24","n","x","112023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"7","MCAV","Healthy","12/1/24","n","x","122023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"7","MCAV","Healthy","12/1/24","n","x","012024","Healthy",NA,NA
"6/24/19","CBC30N",1,"7","MCAV","Healthy","12/1/24","n","x","022024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"7","MCAV","Healthy","12/1/24","n","x","042024","Healthy",NA,NA
"6/24/19","CBC30N",1,"7","MCAV","Healthy","12/1/24","n","x","062024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"7","MCAV","Healthy","12/1/24","n","x","082024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"7","MCAV","Healthy","12/1/24","n","x","122024","Dead",NA,NA
"6/24/19","CBC30N",1,"7","MCAV","Healthy","12/1/24","n","x","062025",NA,NA,NA
"6/24/19","CBC30N",1,"8","MCAV","5/21/22","9/25/23","n","x","062019","Healthy",NA,NA
"6/24/19","CBC30N",1,"8","MCAV","5/21/22","9/25/23","n","x","052022","Diseased",NA,NA
"6/24/19","CBC30N",1,"8","MCAV","5/21/22","9/25/23","n","x","122022","Diseased",NA,NA
"6/24/19","CBC30N",1,"8","MCAV","5/21/22","9/25/23","n","x","092023","Dead",NA,NA
"6/24/19","CBC30N",1,"8","MCAV","5/21/22","9/25/23","n","x","112023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"8","MCAV","5/21/22","9/25/23","n","x","122023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"8","MCAV","5/21/22","9/25/23","n","x","012024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"8","MCAV","5/21/22","9/25/23","n","x","022024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"8","MCAV","5/21/22","9/25/23","n","x","042024","Dead",NA,NA
"6/24/19","CBC30N",1,"8","MCAV","5/21/22","9/25/23","n","x","062024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"8","MCAV","5/21/22","9/25/23","n","x","082024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"8","MCAV","5/21/22","9/25/23","n","x","122024","Not_visited",NA,NA
"6/24/19","CBC30N",1,"8","MCAV","5/21/22","9/25/23","n","x","062025",NA,NA,NA
"6/21/19","CBC30N",1,"9","SSID","5/21/22","Diseased","n","help (01 same coral?)","062019","Healthy",NA,NA
"6/21/19","CBC30N",1,"9","SSID","5/21/22","Diseased","n","help (01 same coral?)","052022","Diseased",NA,NA
"6/21/19","CBC30N",1,"9","SSID","5/21/22","Diseased","n","help (01 same coral?)","122022","Diseased",NA,NA
"6/21/19","CBC30N",1,"9","SSID","5/21/22","Diseased","n","help (01 same coral?)","092023","Diseased",NA,NA
"6/21/19","CBC30N",1,"9","SSID","5/21/22","Diseased","n","help (01 same coral?)","112023","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"9","SSID","5/21/22","Diseased","n","help (01 same coral?)","122023","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"9","SSID","5/21/22","Diseased","n","help (01 same coral?)","012024","Diseased",NA,NA
"6/21/19","CBC30N",1,"9","SSID","5/21/22","Diseased","n","help (01 same coral?)","022024","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"9","SSID","5/21/22","Diseased","n","help (01 same coral?)","042024","Diseased",NA,NA
"6/21/19","CBC30N",1,"9","SSID","5/21/22","Diseased","n","help (01 same coral?)","062024","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"9","SSID","5/21/22","Diseased","n","help (01 same coral?)","082024","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"9","SSID","5/21/22","Diseased","n","help (01 same coral?)","122024","Healthy",NA,NA
"6/21/19","CBC30N",1,"9","SSID","5/21/22","Diseased","n","help (01 same coral?)","062025","Diseased",NA,NA
"6/24/19","CBC30N",1,"10","SSID","12/2/22","9/25/23","n","x","062019","Healthy",NA,NA
"6/24/19","CBC30N",1,"10","SSID","12/2/22","9/25/23","n","x","052022","Diseased",NA,NA
"6/24/19","CBC30N",1,"10","SSID","12/2/22","9/25/23","n","x","122022","Diseased",NA,NA
"6/24/19","CBC30N",1,"10","SSID","12/2/22","9/25/23","n","x","092023","Dead",NA,NA
"6/24/19","CBC30N",1,"10","SSID","12/2/22","9/25/23","n","x","112023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"10","SSID","12/2/22","9/25/23","n","x","122023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"10","SSID","12/2/22","9/25/23","n","x","012024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"10","SSID","12/2/22","9/25/23","n","x","022024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"10","SSID","12/2/22","9/25/23","n","x","042024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"10","SSID","12/2/22","9/25/23","n","x","062024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"10","SSID","12/2/22","9/25/23","n","x","082024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"10","SSID","12/2/22","9/25/23","n","x","122024","Not_visited",NA,NA
"6/24/19","CBC30N",1,"10","SSID","12/2/22","9/25/23","n","x","062025",NA,NA,NA
"6/24/19","CBC30N",1,"11","SSID","5/21/22","Diseased","n","x","062019","Healthy",NA,NA
"6/24/19","CBC30N",1,"11","SSID","5/21/22","Diseased","n","x","052022","Diseased",NA,NA
"6/24/19","CBC30N",1,"11","SSID","5/21/22","Diseased","n","x","122022","Diseased",NA,NA
"6/24/19","CBC30N",1,"11","SSID","5/21/22","Diseased","n","x","092023","Diseased",NA,NA
"6/24/19","CBC30N",1,"11","SSID","5/21/22","Diseased","n","x","112023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"11","SSID","5/21/22","Diseased","n","x","122023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"11","SSID","5/21/22","Diseased","n","x","012024","Diseased",NA,NA
"6/24/19","CBC30N",1,"11","SSID","5/21/22","Diseased","n","x","022024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"11","SSID","5/21/22","Diseased","n","x","042024","Diseased",NA,NA
"6/24/19","CBC30N",1,"11","SSID","5/21/22","Diseased","n","x","062024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"11","SSID","5/21/22","Diseased","n","x","082024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"11","SSID","5/21/22","Diseased","n","x","122024","Healthy",NA,NA
"6/24/19","CBC30N",1,"11","SSID","5/21/22","Diseased","n","x","062025","Diseased",NA,NA
"10/15/19","CBC30N",1,"12","PSTR","Healthy","Healthy","y","x","062019","Healthy",NA,NA
"10/15/19","CBC30N",1,"12","PSTR","Healthy","Healthy","y","x","052022","Healthy",NA,NA
"10/15/19","CBC30N",1,"12","PSTR","Healthy","Healthy","y","x","122022","Healthy",NA,NA
"10/15/19","CBC30N",1,"12","PSTR","Healthy","Healthy","y","x","092023","Healthy",NA,NA
"10/15/19","CBC30N",1,"12","PSTR","Healthy","Healthy","y","x","112023","CLP","100%",NA
"10/15/19","CBC30N",1,"12","PSTR","Healthy","Healthy","y","x","122023","Healthy",NA,NA
"10/15/19","CBC30N",1,"12","PSTR","Healthy","Healthy","y","x","012024","Healthy",NA,NA
"10/15/19","CBC30N",1,"12","PSTR","Healthy","Healthy","y","x","022024","Healthy",NA,NA
"10/15/19","CBC30N",1,"12","PSTR","Healthy","Healthy","y","x","042024","Healthy",NA,NA
"10/15/19","CBC30N",1,"12","PSTR","Healthy","Healthy","y","x","062024","Healthy",NA,NA
"10/15/19","CBC30N",1,"12","PSTR","Healthy","Healthy","y","x","082024","Healthy",NA,NA
"10/15/19","CBC30N",1,"12","PSTR","Healthy","Healthy","y","x","122024","Healthy",NA,NA
"10/15/19","CBC30N",1,"12","PSTR","Healthy","Healthy","y","x","062025","Healthy",NA,NA
"6/24/19","CBC30N",1,"13","PAST","Healthy","12/16/23","y","x","062019","Healthy",NA,NA
"6/24/19","CBC30N",1,"13","PAST","Healthy","12/16/23","y","x","052022","Healthy",NA,NA
"6/24/19","CBC30N",1,"13","PAST","Healthy","12/16/23","y","x","122022","Healthy",NA,NA
"6/24/19","CBC30N",1,"13","PAST","Healthy","12/16/23","y","x","092023","Healthy",NA,NA
"6/24/19","CBC30N",1,"13","PAST","Healthy","12/16/23","y","x","112023","CLP","100%",NA
"6/24/19","CBC30N",1,"13","PAST","Healthy","12/16/23","y","x","122023","Dead",NA,NA
"6/24/19","CBC30N",1,"13","PAST","Healthy","12/16/23","y","x","012024","Dead",NA,NA
"6/24/19","CBC30N",1,"13","PAST","Healthy","12/16/23","y","x","022024","Dead",NA,NA
"6/24/19","CBC30N",1,"13","PAST","Healthy","12/16/23","y","x","042024","Dead",NA,NA
"6/24/19","CBC30N",1,"13","PAST","Healthy","12/16/23","y","x","062024","Dead",NA,NA
"6/24/19","CBC30N",1,"13","PAST","Healthy","12/16/23","y","x","082024","Dead",NA,NA
"6/24/19","CBC30N",1,"13","PAST","Healthy","12/16/23","y","x","122024","Dead",NA,NA
"6/24/19","CBC30N",1,"13","PAST","Healthy","12/16/23","y","x","062025",NA,NA,NA
"6/24/19","CBC30N",1,"14","MCAV","5/21/22","12/2/22","n","x","062019","Healthy",NA,NA
"6/24/19","CBC30N",1,"14","MCAV","5/21/22","12/2/22","n","x","052022","Diseased",NA,NA
"6/24/19","CBC30N",1,"14","MCAV","5/21/22","12/2/22","n","x","122022","Dead",NA,NA
"6/24/19","CBC30N",1,"14","MCAV","5/21/22","12/2/22","n","x","092023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"14","MCAV","5/21/22","12/2/22","n","x","112023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"14","MCAV","5/21/22","12/2/22","n","x","122023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"14","MCAV","5/21/22","12/2/22","n","x","012024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"14","MCAV","5/21/22","12/2/22","n","x","022024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"14","MCAV","5/21/22","12/2/22","n","x","042024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"14","MCAV","5/21/22","12/2/22","n","x","062024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"14","MCAV","5/21/22","12/2/22","n","x","082024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"14","MCAV","5/21/22","12/2/22","n","x","122024","Not_visited",NA,NA
"6/24/19","CBC30N",1,"14","MCAV","5/21/22","12/2/22","n","x","062025",NA,NA,NA
"6/26/19","CBC30N",1,"15","MCAV","5/21/22","12/2/22","n","x","062019","Healthy",NA,NA
"6/26/19","CBC30N",1,"15","MCAV","5/21/22","12/2/22","n","x","052022","Diseased",NA,NA
"6/26/19","CBC30N",1,"15","MCAV","5/21/22","12/2/22","n","x","122022","Dead",NA,NA
"6/26/19","CBC30N",1,"15","MCAV","5/21/22","12/2/22","n","x","092023","Not_Visited",NA,NA
"6/26/19","CBC30N",1,"15","MCAV","5/21/22","12/2/22","n","x","112023","Not_Visited",NA,NA
"6/26/19","CBC30N",1,"15","MCAV","5/21/22","12/2/22","n","x","122023","Not_Visited",NA,NA
"6/26/19","CBC30N",1,"15","MCAV","5/21/22","12/2/22","n","x","012024","Not_Visited",NA,NA
"6/26/19","CBC30N",1,"15","MCAV","5/21/22","12/2/22","n","x","022024","Not_Visited",NA,NA
"6/26/19","CBC30N",1,"15","MCAV","5/21/22","12/2/22","n","x","042024","Not_Visited",NA,NA
"6/26/19","CBC30N",1,"15","MCAV","5/21/22","12/2/22","n","x","062024","Not_Visited",NA,NA
"6/26/19","CBC30N",1,"15","MCAV","5/21/22","12/2/22","n","x","082024","Not_Visited",NA,NA
"6/26/19","CBC30N",1,"15","MCAV","5/21/22","12/2/22","n","x","122024","Not_visited",NA,NA
"6/26/19","CBC30N",1,"15","MCAV","5/21/22","12/2/22","n","x","062025",NA,NA,NA
"6/24/19","CBC30N",1,"16","SSID","5/21/22","Diseased","n","x","062019","Healthy",NA,NA
"6/24/19","CBC30N",1,"16","SSID","5/21/22","Diseased","n","x","052022","Diseased",NA,NA
"6/24/19","CBC30N",1,"16","SSID","5/21/22","Diseased","n","x","122022","Diseased",NA,NA
"6/24/19","CBC30N",1,"16","SSID","5/21/22","Diseased","n","x","092023","Diseased",NA,NA
"6/24/19","CBC30N",1,"16","SSID","5/21/22","Diseased","n","x","112023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"16","SSID","5/21/22","Diseased","n","x","122023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"16","SSID","5/21/22","Diseased","n","x","012024","Diseased",NA,NA
"6/24/19","CBC30N",1,"16","SSID","5/21/22","Diseased","n","x","022024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"16","SSID","5/21/22","Diseased","n","x","042024","Diseased",NA,NA
"6/24/19","CBC30N",1,"16","SSID","5/21/22","Diseased","n","x","062024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"16","SSID","5/21/22","Diseased","n","x","082024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"16","SSID","5/21/22","Diseased","n","x","122024","DC","50%",NA
"6/24/19","CBC30N",1,"16","SSID","5/21/22","Diseased","n","x","062025","Diseased",NA,NA
"6/24/19","CBC30N",1,"17","SSID","5/21/22","Diseased","n","help (042024)","062019","Healthy",NA,NA
"6/24/19","CBC30N",1,"17","SSID","5/21/22","Diseased","n","help (042024)","052022","Diseased",NA,NA
"6/24/19","CBC30N",1,"17","SSID","5/21/22","Diseased","n","help (042024)","122022","Diseased",NA,NA
"6/24/19","CBC30N",1,"17","SSID","5/21/22","Diseased","n","help (042024)","092023","Diseased, CLB","NA,50%",NA
"6/24/19","CBC30N",1,"17","SSID","5/21/22","Diseased","n","help (042024)","112023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"17","SSID","5/21/22","Diseased","n","help (042024)","122023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"17","SSID","5/21/22","Diseased","n","help (042024)","012024","Diseased",NA,NA
"6/24/19","CBC30N",1,"17","SSID","5/21/22","Diseased","n","help (042024)","022024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"17","SSID","5/21/22","Diseased","n","help (042024)","042024","Diseased, CLP","NA, 60%",NA
"6/24/19","CBC30N",1,"17","SSID","5/21/22","Diseased","n","help (042024)","062024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"17","SSID","5/21/22","Diseased","n","help (042024)","082024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"17","SSID","5/21/22","Diseased","n","help (042024)","122024","DC,TL","50%,10%",NA
"6/24/19","CBC30N",1,"17","SSID","5/21/22","Diseased","n","help (042024)","062025","Diseased",NA,NA
"6/21/19","CBC30N",1,"19","PAST","5/21/22","4/1/24","n","help - is 1220222 wrong coral?","062019","Healthy",NA,NA
"6/21/19","CBC30N",1,"19","PAST","5/21/22","4/1/24","n","help - is 1220222 wrong coral?","052022","Diseased",NA,NA
"6/21/19","CBC30N",1,"19","PAST","5/21/22","4/1/24","n","help - is 1220222 wrong coral?","122022","Healthy",NA,NA
"6/21/19","CBC30N",1,"19","PAST","5/21/22","4/1/24","n","help - is 1220222 wrong coral?","092023","CLB","100%",NA
"6/21/19","CBC30N",1,"19","PAST","5/21/22","4/1/24","n","help - is 1220222 wrong coral?","112023","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"19","PAST","5/21/22","4/1/24","n","help - is 1220222 wrong coral?","122023","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"19","PAST","5/21/22","4/1/24","n","help - is 1220222 wrong coral?","012024","CLB","100%",NA
"6/21/19","CBC30N",1,"19","PAST","5/21/22","4/1/24","n","help - is 1220222 wrong coral?","022024","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"19","PAST","5/21/22","4/1/24","n","help - is 1220222 wrong coral?","042024","Dead",NA,NA
"6/21/19","CBC30N",1,"19","PAST","5/21/22","4/1/24","n","help - is 1220222 wrong coral?","062024","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"19","PAST","5/21/22","4/1/24","n","help - is 1220222 wrong coral?","082024","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"19","PAST","5/21/22","4/1/24","n","help - is 1220222 wrong coral?","122024","Dead",NA,NA
"6/21/19","CBC30N",1,"19","PAST","5/21/22","4/1/24","n","help - is 1220222 wrong coral?","062025",NA,NA,NA
"6/24/19","CBC30N",1,"20","PAST","12/2/22","4/26/24","n","x","062019","Healthy",NA,NA
"6/24/19","CBC30N",1,"20","PAST","12/2/22","4/26/24","n","x","052022","Healthy",NA,NA
"6/24/19","CBC30N",1,"20","PAST","12/2/22","4/26/24","n","x","122022","Diseased",NA,NA
"6/24/19","CBC30N",1,"20","PAST","12/2/22","4/26/24","n","x","092023","Healthy",NA,NA
"6/24/19","CBC30N",1,"20","PAST","12/2/22","4/26/24","n","x","112023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"20","PAST","12/2/22","4/26/24","n","x","122023","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"20","PAST","12/2/22","4/26/24","n","x","012024","CLP","100%",NA
"6/24/19","CBC30N",1,"20","PAST","12/2/22","4/26/24","n","x","022024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"20","PAST","12/2/22","4/26/24","n","x","042024","Healthy",NA,NA
"6/24/19","CBC30N",1,"20","PAST","12/2/22","4/26/24","n","x","062024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"20","PAST","12/2/22","4/26/24","n","x","082024","Not_Visited",NA,NA
"6/24/19","CBC30N",1,"20","PAST","12/2/22","4/26/24","n","x","122024","Not_visited",NA,NA
"6/24/19","CBC30N",1,"20","PAST","12/2/22","4/26/24","n","x","062025",NA,NA,NA
"6/24/19","CBC30N",1,"21","PAST","Healthy","8/1/24","y","x","062019","Healthy",NA,NA
"6/24/19","CBC30N",1,"21","PAST","Healthy","8/1/24","y","x","052022","Healthy",NA,NA
"6/24/19","CBC30N",1,"21","PAST","Healthy","8/1/24","y","x","122022","Healthy",NA,NA
"6/24/19","CBC30N",1,"21","PAST","Healthy","8/1/24","y","x","092023","CLP","10%",NA
"6/24/19","CBC30N",1,"21","PAST","Healthy","8/1/24","y","x","112023","CLP","100%",NA
"6/24/19","CBC30N",1,"21","PAST","Healthy","8/1/24","y","x","122023","CLB,CLP","10%,90%",NA
"6/24/19","CBC30N",1,"21","PAST","Healthy","8/1/24","y","x","012024","CLP","100%",NA
"6/24/19","CBC30N",1,"21","PAST","Healthy","8/1/24","y","x","022024","Healthy",NA,NA
"6/24/19","CBC30N",1,"21","PAST","Healthy","8/1/24","y","x","042024","Healthy",NA,NA
"6/24/19","CBC30N",1,"21","PAST","Healthy","8/1/24","y","x","062024","Healthy",NA,NA
"6/24/19","CBC30N",1,"21","PAST","Healthy","8/1/24","y","x","082024","Dead",NA,NA
